bigram,frequency,word1,word2,word1_freq,word2_freq
"('the', 'minuteſt')",0.00011704119850187266,the,minuteſt,0.06155646576945582,0.00011702750146284377
"('allowing', 'our')",0.00011704119850187266,allowing,our,0.00011702750146284377,0.003510825043885313
"('means', 'all')",0.00011704119850187266,means,all,0.00023405500292568755,0.010298420128730251
"('air', 'is')",0.00023408239700374532,air,is,0.001989467524868344,0.010766530134581627
"('thus', 'the')",0.00011704119850187266,thus,the,0.0004681100058513751,0.06155646576945582
"('holy', 'holy')",0.00023408239700374532,holy,holy,0.0003510825043885313,0.0003510825043885313
"('foreſee', 'ſuch')",0.00011704119850187266,foreſee,ſuch,0.00011702750146284377,0.003978935049736688
"('ever', 'and')",0.00023408239700374532,ever,and,0.001521357519016969,0.03978935049736688
"('the', 'improbability')",0.00011704119850187266,the,improbability,0.06155646576945582,0.00011702750146284377
"('without', 'a')",0.00023408239700374532,without,a,0.0038619075482738442,0.014160327677004095
"('property', 'of')",0.00035112359550561797,property,of,0.0004681100058513751,0.04166179052077238
"('before', 'us')",0.00011704119850187266,before,us,0.0017554125219426564,0.0016383850204798127
"('already', 'exceeded')",0.00011704119850187266,already,exceeded,0.0005851375073142189,0.00011702750146284377
"('that', 'would')",0.00011704119850187266,that,would,0.025043885313048568,0.005851375073142188
"('inconſiderable', 'too')",0.00011704119850187266,inconſiderable,too,0.00023405500292568755,0.0003510825043885313
"('that', 'are')",0.00035112359550561797,that,are,0.025043885313048568,0.003627852545348157
"('this', 'ſuppoſition')",0.00011704119850187266,this,ſuppoſition,0.00807489760093622,0.0003510825043885313
"('conſtitution', 'of')",0.00011704119850187266,conſtitution,of,0.00023405500292568755,0.04166179052077238
"('ſeparated', 'again')",0.00011704119850187266,ſeparated,again,0.00011702750146284377,0.00011702750146284377
"('others', 'proportionated')",0.00011704119850187266,others,proportionated,0.0004681100058513751,0.00011702750146284377
"('exhalations', 'or')",0.00011704119850187266,exhalations,or,0.00011702750146284377,0.011000585137507315
"('natural', 'agent')",0.00011704119850187266,natural,agent,0.0007021650087770626,0.0004681100058513751
"('not', 'entertain')",0.00011704119850187266,not,entertain,0.006085430076067876,0.00011702750146284377
"('diffuſed', 'might')",0.00011704119850187266,diffuſed,might,0.0012873025160912814,0.0026916325336454067
"('it', 'retain')",0.00011704119850187266,it,retain,0.014628437682855471,0.0003510825043885313
"('were', 'uniformly')",0.00011704119850187266,were,uniformly,0.0017554125219426564,0.0003510825043885313
"('have', 'explain')",0.00011704119850187266,have,explain,0.007021650087770626,0.00011702750146284377
"('and', 'each')",0.00023408239700374532,and,each,0.03978935049736688,0.0016383850204798127
"('made', 'there')",0.00011704119850187266,made,there,0.0011702750146284377,0.0031597425394967816
"('former', 'had')",0.00011704119850187266,former,had,0.0009362200117027502,0.0004681100058513751
"('before', 'such')",0.00011704119850187266,before,such,0.0017554125219426564,0.00011702750146284377
"('whereby', 'they')",0.00011704119850187266,whereby,they,0.0008191925102399064,0.008543007606787596
"('why', 'nor')",0.00011704119850187266,why,nor,0.00023405500292568755,0.0033937975424224694
"('may', 'perform')",0.00011704119850187266,may,perform,0.004095962551199532,0.00011702750146284377
"('them', 'nothing')",0.00011704119850187266,them,nothing,0.004095962551199532,0.0008191925102399064
"('ſingle', 'particle')",0.00046816479400749064,ſingle,particle,0.0009362200117027502,0.001521357519016969
"('were', 'each')",0.00011704119850187266,were,each,0.0017554125219426564,0.0016383850204798127
"('state', 'and')",0.00011704119850187266,state,and,0.00023405500292568755,0.03978935049736688
"('convene', 'in')",0.00011704119850187266,convene,in,0.0016383850204798127,0.01767115272088941
"('without', 'mutual')",0.00023408239700374532,without,mutual,0.0038619075482738442,0.0018724400234055004
"('bodies', 'with')",0.00011704119850187266,bodies,with,0.003042715038033938,0.004681100058513751
"('a', 'void')",0.00023408239700374532,a,void,0.014160327677004095,0.0016383850204798127
"('it', 'cannot')",0.00035112359550561797,it,cannot,0.014628437682855471,0.0017554125219426564
"('any', 'vortices')",0.00011704119850187266,any,vortices,0.004330017554125219,0.00011702750146284377
"('exact', 'equilibrium')",0.00011704119850187266,exact,equilibrium,0.0004681100058513751,0.00023405500292568755
"('it', 'matters')",0.00011704119850187266,it,matters,0.014628437682855471,0.00023405500292568755
"('not', 'admitting')",0.00011704119850187266,not,admitting,0.006085430076067876,0.00023405500292568755
"('diſtant', 'bodies')",0.00023408239700374532,diſtant,bodies,0.0004681100058513751,0.003042715038033938
"('we', 'affirm')",0.00023408239700374532,we,affirm,0.008425980105324752,0.0009362200117027502
"('which', 'that')",0.00011704119850187266,which,that,0.00620245757753072,0.025043885313048568
"('laud', 'and')",0.00011704119850187266,laud,and,0.00011702750146284377,0.03978935049736688
"('this', 'whether')",0.00011704119850187266,this,whether,0.00807489760093622,0.0004681100058513751
"('philoſ', 'nat')",0.00011704119850187266,philoſ,nat,0.00023405500292568755,0.00011702750146284377
"('as', 'to')",0.0015215355805243446,as,to,0.009128145114101814,0.022937390286717377
"('firmament', 'to')",0.00011704119850187266,firmament,to,0.0005851375073142189,0.022937390286717377
