bigram,frequency,word1,word2,word1_freq,word2_freq
"('riſe', 'nay')",0.00013883104262113008,riſe,nay,0.000277623542476402,0.000555247084952804
"('falſhood', 'and')",0.00013883104262113008,falſhood,and,0.000416435313714603,0.04525263742365353
"('apoſtle', 'ſpeak')",0.00013883104262113008,apoſtle,ſpeak,0.001526929483620211,0.000138811771238201
"('that', 'trouble')",0.00013883104262113008,that,trouble,0.02373681288173237,0.000138811771238201
"('perfect', 'ſtate')",0.00013883104262113008,perfect,ſtate,0.000832870627429206,0.001249305941143809
"('fleſh', 'is')",0.00013883104262113008,fleſh,is,0.000138811771238201,0.019850083287062743
"('laſt', 'that')",0.00013883104262113008,laſt,that,0.000971682398667407,0.02373681288173237
"('be', 'diſproved')",0.00013883104262113008,be,diſproved,0.019988895058300944,0.000138811771238201
"('certainly', 'are')",0.00013883104262113008,certainly,are,0.000138811771238201,0.006524153248195447
"('heard', 'unſpeakable')",0.00013883104262113008,heard,unſpeakable,0.000277623542476402,0.000138811771238201
"('and', 'be')",0.00013883104262113008,and,be,0.04525263742365353,0.019988895058300944
"('or', 'pure')",0.00013883104262113008,or,pure,0.009994447529150472,0.000416435313714603
"('will', 'of')",0.00013883104262113008,will,of,0.003331482509716824,0.04094947251526929
"('brought', 'forth')",0.00013883104262113008,brought,forth,0.000138811771238201,0.000138811771238201
"('him', 'dwelt')",0.00013883104262113008,him,dwelt,0.003053858967240422,0.000138811771238201
"('to', 'hand')",0.00013883104262113008,to,hand,0.03678511937812327,0.000277623542476402
"('to', 'make')",0.00013883104262113008,to,make,0.03678511937812327,0.000416435313714603
"('framed', 'or')",0.00013883104262113008,framed,or,0.000138811771238201,0.009994447529150472
"('churches', 'of')",0.00013883104262113008,churches,of,0.000138811771238201,0.04094947251526929
"('a', 'plain')",0.00013883104262113008,a,plain,0.018184342032204332,0.000416435313714603
"('revelation', 'revelation')",0.00013883104262113008,revelation,revelation,0.010827318156579679,0.010827318156579679
"('the', 'third')",0.00013883104262113008,the,third,0.057884508606329814,0.000277623542476402
"('ſuited', 'to')",0.00013883104262113008,ſuited,to,0.000138811771238201,0.03678511937812327
"('and', 'occaſional')",0.00013883104262113008,and,occaſional,0.04525263742365353,0.000416435313714603
"('that', 'becauſe')",0.00013883104262113008,that,becauſe,0.02373681288173237,0.000832870627429206
"('that', 'maintain')",0.00013883104262113008,that,maintain,0.02373681288173237,0.000277623542476402
"('in', 'mind')",0.00013883104262113008,in,mind,0.016102165463631316,0.000555247084952804
"('as', 'to')",0.00041649312786339027,as,to,0.013742365352581899,0.03678511937812327
"('called', 'chriſtians')",0.00013883104262113008,called,chriſtians,0.000971682398667407,0.000416435313714603
"('became', 'proſelytes')",0.00013883104262113008,became,proſelytes,0.000277623542476402,0.000138811771238201
"('conjunction', 'with')",0.00027766208524226016,conjunction,with,0.000277623542476402,0.003747917823431427
"('it', 'we')",0.00027766208524226016,it,we,0.02345918933925597,0.00694058856191005
"('themſelves', 'ſubject')",0.00013883104262113008,themſelves,ſubject,0.000555247084952804,0.000277623542476402
"('all', 'the')",0.0008329862557267805,all,the,0.005830094392004442,0.057884508606329814
"('the', 'mendicant')",0.00013883104262113008,the,mendicant,0.057884508606329814,0.000138811771238201
"('place', 'have')",0.00013883104262113008,place,have,0.001110494169905608,0.006107717934480844
"('calls', 'it')",0.00013883104262113008,calls,it,0.000277623542476402,0.02345918933925597
